CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,shape
4815101.0,DIVISADERO,ST,Lower Pacfic Heights,4815101,"LINESTRING (-122.44005 37.786175, -122.44011 37.78624, -122.44026 37.787018, -122.44024 37.78711)"
4814201.0,DIVISADERO,ST,Lower Pacfic Heights,4814201,"LINESTRING (-122.43986 37.785244, -122.439835 37.785336, -122.43998 37.78611, -122.44005 37.786175)"
4814101.0,DIVISADERO,ST,Lower Pacfic Heights,4814101,"LINESTRING (-122.43986 37.785244, -122.43992 37.785324, -122.44008 37.786095, -122.44005 37.786175)"
4813101.0,DIVISADERO,ST,Lower Pacfic Heights,4813101,"LINESTRING (-122.439674 37.784313, -122.439735 37.78439, -122.43989 37.78516, -122.43986 37.785244)"
4812201.0,DIVISADERO,ST,Lower Pacfic Heights,4812201,"LINESTRING (-122.43947 37.783302, -122.43944 37.783394, -122.439606 37.784237, -122.439674 37.784313)"
4812102.0,DIVISADERO,ST,Lower Pacfic Heights,4812102,"LINESTRING (-122.43963 37.78384, -122.4397 37.784225, -122.439674 37.784313)"
4812101.0,DIVISADERO,ST,Lower Pacfic Heights,4812101,"LINESTRING (-122.43947 37.783302, -122.43953 37.78338, -122.43963 37.78384)"
4804201.0,DIVISADERO,ST,Alamo Square,4804201,"LINESTRING (-122.43797 37.77592, -122.437935 37.776005, -122.438095 37.77679, -122.43816 37.77685)"
5453000.0,FELL,ST,North Panhandle,5453000,"LINESTRING (-122.44091 37.773632, -122.44255 37.77342)"
5456000.0,FELL,ST,North Panhandle,5456000,"LINESTRING (-122.44589 37.77299, -122.44749 37.772785)"
5458000.0,FELL,ST,North Panhandle,5458000,"LINESTRING (-122.44913 37.772575, -122.450775 37.77236)"
5459000.0,FELL,ST,North Panhandle,5459000,"LINESTRING (-122.450775 37.77236, -122.45223 37.772175, -122.45242 37.772182)"
5460000.0,FELL,ST,North Panhandle,5460000,"LINESTRING (-122.45242 37.772182, -122.45395 37.77199, -122.45407 37.771927)"
5457000.0,FELL,ST,North Panhandle,5457000,"LINESTRING (-122.44749 37.772785, -122.44913 37.772575)"
5440000.0,FELL,ST,Van Ness - Civic Center,5440000,"LINESTRING (-122.419495 37.776363, -122.421135 37.776154)"
5441000.0,FELL,ST,Van Ness - Civic Center,5441000,"LINESTRING (-122.421135 37.776154, -122.422775 37.775944)"
5442000.0,FELL,ST,Hayes Valley,5442000,"LINESTRING (-122.422775 37.775944, -122.42431 37.77575)"
5443000.0,FELL,ST,Hayes Valley,5443000,"LINESTRING (-122.42431 37.77575, -122.426056 37.77552)"
5444000.0,FELL,ST,Hayes Valley,5444000,"LINESTRING (-122.426056 37.77552, -122.42771 37.77531)"
5445000.0,FELL,ST,Hayes Valley,5445000,"LINESTRING (-122.42771 37.77531, -122.42935 37.775105)"
5451000.0,FELL,ST,North Panhandle,5451000,"LINESTRING (-122.4376 37.774055, -122.43926 37.77384)"
5448000.0,FELL,ST,Alamo Square,5448000,"LINESTRING (-122.43263 37.77469, -122.43428 37.77447)"
5449000.0,FELL,ST,Alamo Square,5449000,"LINESTRING (-122.43428 37.77447, -122.43593 37.774273)"
5450000.0,FELL,ST,Alamo Square,5450000,"LINESTRING (-122.43593 37.774273, -122.4376 37.774055)"
5452000.0,FELL,ST,North Panhandle,5452000,"LINESTRING (-122.43926 37.77384, -122.44091 37.773632)"
5446000.0,FELL,ST,Alamo Square,5446000,"LINESTRING (-122.42935 37.775105, -122.431 37.7749)"
5455000.0,FELL,ST,North Panhandle,5455000,"LINESTRING (-122.44421 37.77321, -122.44589 37.77299)"
5454000.0,FELL,ST,North Panhandle,5454000,"LINESTRING (-122.44255 37.77342, -122.44421 37.77321)"
5447000.0,FELL,ST,Alamo Square,5447000,"LINESTRING (-122.431 37.7749, -122.43263 37.77469)"
6115000.0,GEARY,ST,Downtown - Tenderloin,6115000,"LINESTRING (-122.414795 37.786514, -122.416435 37.786304)"
6117000.0,GEARY,ST,Downtown - Tenderloin,6117000,"LINESTRING (-122.418076 37.786095, -122.41972 37.78589)"
6118000.0,GEARY,ST,Van Ness - Civic Center,6118000,"LINESTRING (-122.41972 37.78589, -122.42138 37.785683)"
6039101.0,GEARY,BLVD,Western Addition,6039101,"LINESTRING (-122.424675 37.785328, -122.424805 37.785263, -122.426414 37.785057)"
6037000.0,GEARY,BLVD,Van Ness - Civic Center,6037000,"LINESTRING (-122.42138 37.785683, -122.42301 37.785477)"
6038000.0,GEARY,BLVD,Van Ness - Civic Center,6038000,"LINESTRING (-122.42301 37.785477, -122.42354 37.785404, -122.423805 37.785378, -122.424126 37.78538, -122.42443 37.78539, -122.424545 37.7854, -122.424675 37.785328)"
6039102.0,GEARY,BLVD,Western Addition,6039102,"LINESTRING (-122.426414 37.785057, -122.42784 37.784874, -122.42798 37.78495)"
6039201.0,GEARY,BLVD,Lower Pacfic Heights,6039201,"LINESTRING (-122.424675 37.785328, -122.42489 37.785435, -122.42788 37.78506, -122.42798 37.78495)"
6040102.0,GEARY,BLVD,Western Addition,6040102,"LINESTRING (-122.42798 37.78495, -122.42806 37.784855, -122.429596 37.784676)"
6044101.0,GEARY,BLVD,Anza Vista,6044101,"LINESTRING (-122.43947 37.783302, -122.43959 37.78322, -122.442635 37.782833, -122.44278 37.78288)"
6040103.0,GEARY,BLVD,Western Addition,6040103,"LINESTRING (-122.429596 37.784676, -122.42978 37.784657)"
6040201.0,GEARY,BLVD,Lower Pacfic Heights,6040201,"LINESTRING (-122.42798 37.78495, -122.428085 37.785023, -122.43104 37.784664, -122.43119 37.784565)"
6041101.0,GEARY,BLVD,Western Addition,6041101,"LINESTRING (-122.43119 37.784565, -122.431366 37.784485, -122.434425 37.7841, -122.43455 37.784145)"
